,state,District,YEAR,MURDER,ATTEMPT TO MURDER,RAPE,CUSTODIAL RAPE,OTHER RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,INSULT TO MODESTY OF WOMEN,CRUELTY BY HUSBAND OR HIS RELATIVES,IMPORTATION OF GIRLS FROM FOREIGN COUNTRIES,person,Male,Female,growthinpopulation,rural,urban,STPop,Personlit_rate,Mlit_Rate,Flit_Rate,Totalworkers,Mainworkers,Marginal workers,Nonworkers,Religion1,religion1 population,Religion2,Religion2 Population,religion3name,religion3poulation,inhabitadevillages,drinkingwater,electricity,primary school,Medical facility
57,gujarat,narmada,2001.0,16,3,8,0,8,9,8,1,0,7,1,9,0,514404,263986,250418,14.4,462298,949.0,401654,59.86,72.44,46.61,259116,176372,82744,255288,1.Hindus,482552,2.Muslims,20429,3.Christians,5122,552.0,552.0,530.0,515.0,324
58,gujarat,navsari,2001.0,26,6,2,0,2,6,5,1,0,6,0,17,0,1229463,628988,600475,13.22,893110,955.0,591164,75.83,82.77,68.61,545215,457002,88213,684248,1.Hindus,1135525,2.Muslims,69972,3.Jains,13575,374.0,374.0,374.0,368.0,268
59,gujarat,patan,2001.0,24,18,3,0,3,21,21,0,0,23,0,78,0,1182709,612100,570609,14.08,944281,932.0,12637,60.36,73.63,46.33,533078,395470,137608,649631,1.Hindus,1057013,2.Muslims,119748,3.Jains,5136,517.0,516.0,517.0,514.0,265
60,gujarat,porbandar,2001.0,15,9,6,0,6,5,5,0,0,10,0,64,0,536835,275821,261014,14.35,275460,946.0,6456,68.62,78.36,58.42,215134,173594,41540,321701,1.Hindus,507176,2.Muslims,28404,3.Jains,589,182.0,182.0,155.0,156.0,130
61,gujarat,surendranagar,2001.0,38,17,11,0,11,29,24,5,2,45,3,75,0,1515148,787650,727498,25.34,1112700,924.0,14338,61.61,74.19,48.1,647609,512038,135571,867539,1.Hindus,1392451,2.Muslims,97846,3.Jains,22721,650.0,649.0,650.0,648.0,170
62,gujarat,valsad,2001.0,44,8,9,0,9,16,11,5,0,10,0,50,0,1410553,734799,675754,29.66,1029392,920.0,772405,69.15,77.9,59.62,650257,503333,146924,760296,1.Hindus,1300005,2.Muslims,66440,3.Christians,15399,450.0,450.0,425.0,449.0,303
63,haryana,ambala,2001.0,26,23,11,0,11,38,32,6,11,27,0,132,0,1014411,542977,471434,25.69,657383,868.0,-,75.31,82.31,67.39,324521,275648,48873,689890,1.Hindus,856193,2.Sikhs,132463,3.Muslims,17263,482.0,482.0,479.0,432.0,204
64,haryana,bhiwani,2001.0,40,20,10,0,10,9,7,2,33,17,0,43,0,1425022,758253,666769,22.45,1154629,879.0,-,67.45,80.26,53.0,609320,425210,184110,815702,1.Hindus,1407363,2.Muslims,12740,3.Sikhs,2542,437.0,437.0,437.0,429.0,252
65,haryana,faridabad,2001.0,68,38,37,0,37,78,53,25,19,47,242,108,0,2194586,1193063,1001523,48.47,973242,839.0,-,70.03,81.52,56.31,785762,609663,176099,1408824,1.Hindus,1896698,2.Muslims,247293,3.Sikhs,36005,413.0,413.0,413.0,376.0,188
66,haryana,gurgaon,2001.0,69,30,32,0,32,50,32,18,17,21,21,136,0,1660289,886451,773838,44.64,1291285,873.0,-,62.91,76.17,47.78,629658,464644,165014,1030631,1.Hindus,1026542,2.Muslims,617918,3.Sikhs,6672,694.0,694.0,693.0,642.0,203
67,haryana,jind,2001.0,37,21,21,0,21,12,8,4,11,22,29,67,0,1189827,642282,547545,21.35,948250,852.0,-,62.12,73.82,48.51,521946,372049,149897,667881,1.Hindus,1134539,2.Sikhs,29159,3.Muslims,20618,306.0,306.0,306.0,300.0,247
